"","cowcode","gwf_country","gwf_casename","gwf_startdate","gwf_enddate","gwf_startyr","gwf_endyr","gwf_subsreg","gwf_howend","gwf_violent","gwf_regimetype"
"261",500,"Uganda","Uganda 80-85",1980-12-11,1985-07-27,1981,1985,2,5,1,"personal"
"262",500,"Uganda","Uganda 86-NA",1986-01-27,2010-12-31,1987,NA,0,0,0,"personal"
"263",696,"United Arab Emirates","United Arab Emirates 71-NA",1971-12-02,2010-12-31,1972,NA,0,0,0,"monarchy"
"264",165,"Uruguay","Uruguay 73-84",1973-06-27,1984-11-25,1974,1984,1,3,1,"military"
"265",704,"Uzbekistan","Uzbekistan 91-NA",1991-08-31,2010-12-31,1992,NA,0,0,0,"party-personal"
"266",101,"Venezuela","Venezuela 48-58",1948-11-24,1958-01-23,1949,1958,1,4,3,"military-personal"
"267",101,"Venezuela","Venezuela 05-NA",2005-12-04,2010-12-31,2006,NA,0,0,0,"personal"
"268",816,"Vietnam","Vietnam 54-NA",1954-07-21,2010-12-31,1955,NA,0,0,0,"party-based"
"269",817,"Vietnam South","Vietnam South 54-63",1954-07-21,1963-11-02,1955,1963,2,5,2,"personal"
"270",817,"Vietnam South","Vietnam South 63-75",1963-11-02,1975-04-30,1964,1975,3,9,4,"military"
"271",678,"Yemen","Yemen 18-62",1918-10-30,1962-09-26,1919,1962,2,5,3,"monarchy"
"272",678,"Yemen","Yemen 62-67",1962-09-26,1967-11-05,1963,1967,2,5,1,"military"
"273",678,"Yemen","Yemen 67-74",1967-11-05,1974-06-13,1968,1974,2,5,1,"personal"
"274",678,"Yemen","Yemen 74-78",1974-06-13,1978-07-17,1975,1978,2,8,1,"military"
"275",678,"Yemen","Yemen 78-NA",1978-07-17,2010-12-31,1979,NA,0,0,0,"personal"
"276",680,"Yemen South","Yemen South 67-90",1967-11-30,1990-05-22,1968,1990,3,9,1,"party-based"
"277",345,"Yugoslavia","Yugoslavia 45-90",1945-03-07,1990-01-20,1946,1990,3,9,4,"party-based"
"278",551,"Zambia","Zambia 67-91",1967-02-28,1991-10-31,1968,1991,1,2,1,"party-based"
"279",551,"Zambia","Zambia 96-NA",1996-05-28,2010-12-31,1997,NA,0,0,0,"party-based"
"280",552,"Zimbabwe","Zimbabwe 80-NA",1980-04-18,2010-12-31,1981,NA,0,0,0,"party-based"
